NoProduit	Pièce	Quantité
50.341.643	110084	1
50.341.643	120172	1
50.341.643	120141	1
50.341.643	120142	1
50.341.643	120143	1
50.341.643	120087	1
50.341.643	126908	1
50.341.643	120172	1
50.341.643	120141	1
50.341.643	120142	1
50.341.643	120087	1
50.341.643	120143	1
50.341.643	139269	1
50.341.643	124607	1
50.341.643	110084	1
70.425.236	109510	16
70.425.236	109510	8
70.425.236	114149	8
70.425.236	102437	2
80.266.411	117494	4
50.325.426	195565	1
50.265.682	109510	1
50.265.682	109535	3
50.265.682	126887	14
50.265.682	128539	2
50.265.682	209091	2
50.265.682	128538	1
50.265.682	128537	2
50.265.682	126889	2
50.265.682	126888	2
50.265.682	128535	2
50.265.682	148593	1
50.265.682	148594	1
50.265.682	147230	1
50.265.682	147231	1
50.265.682	144259	1
50.265.682	144258	1
10.265.679	109510	1
10.265.679	109535	3
10.265.679	126887	14
10.265.679	128539	2
10.265.679	209091	2
10.265.679	128538	1
10.265.679	128537	2
10.265.679	126889	2
10.265.679	126888	2
10.265.679	128535	2
10.265.679	148593	1
10.265.679	148594	1
10.265.679	147230	1
10.265.679	147231	1
10.265.679	144259	1
10.265.679	144258	1
70.265.676	109510	1
70.265.676	109535	7
70.265.676	126887	14
70.265.676	128539	2
70.265.676	209091	2
70.265.676	128538	1
70.265.676	128537	2
70.265.676	126889	2
70.265.676	126888	2
70.265.676	128535	2
70.265.676	147230	1
70.265.676	147231	1
70.265.676	144259	1
70.265.676	144258	1
70.265.676	148591	1
70.265.676	148592	1
70.265.662	148593	1
70.265.662	148594	1
70.265.662	144259	1
70.265.662	144258	1
70.265.662	126887	10
70.265.662	107091	1
70.265.662	126888	2
70.265.662	128535	2
90.265.656	109510	1
90.265.656	109535	3
90.265.656	126887	10
90.265.656	107091	1
90.265.656	128538	1
90.265.656	126888	2
90.265.656	128535	2
90.265.656	148591	1
90.265.656	148592	1
90.265.656	144239	1
90.265.656	143641	1
00.265.665	126887	14
00.265.665	107091	2
00.265.665	128536	2
00.265.665	126889	2
00.265.665	126888	2
00.265.665	128535	2
00.265.665	147230	1
00.265.665	147231	1
00.265.665	144259	1
00.265.665	144258	1
00.265.665	148593	1
00.265.665	148594	1
80.265.666	126887	14
80.265.666	107091	2
80.265.666	128536	2
80.265.666	126889	2
80.265.666	126888	2
80.265.666	128535	2
80.265.666	147230	1
80.265.666	147231	1
80.265.666	144259	1
80.265.666	144258	1
80.265.666	148593	1
80.265.666	148594	1
30.265.664	109510	1
30.265.664	109535	7
30.265.664	126887	14
30.265.664	107091	2
30.265.664	128538	1
30.265.664	128536	2
30.265.664	126889	2
30.265.664	126888	2
30.265.664	128535	2
30.265.664	148591	1
30.265.664	148592	1
30.265.664	144239	1
30.265.664	143641	1
30.265.664	147230	1
30.265.664	147231	1
50.265.413	111111	8
90.265.411	111111	8
80.265.402	111111	8
40.265.499	111111	8
40.265.507	111111	8
50.265.432	111111	8
10.265.518	111111	8
60.284.581	111111	8
60.261.527	111111	8
90.265.492	111111	8
10.265.486	111111	8
20.265.476	111111	8
20.265.495	111111	8
50.265.413	122122	8
90.265.411	122122	8
80.265.402	122122	8
40.265.499	122122	8
40.265.507	122122	8
50.265.432	122122	8
10.265.518	122122	8
60.284.581	122122	8
60.261.527	122122	8
90.265.492	122122	8
10.265.486	122122	8
20.265.476	122122	8
20.265.495	122122	8
50.265.413	211121	2
90.265.411	211121	2
80.265.402	211121	2
40.265.499	211121	2
40.265.507	211121	2
50.265.432	211121	2
10.265.518	211121	2
60.284.581	211121	2
60.261.527	211121	2
90.265.492	211121	2
10.265.486	211121	2
20.265.476	211121	2
20.265.495	211121	2
